Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,home_avg_for,home_avg_against,home_winrate,away_avg_for,away_avg_against,away_winrate
2022-11-06,Tottenham,Liverpool,1,2,A,0,1.8627450980392157,1.0980392156862746,0.5882352941176471,2.34,0.82,0.64
2022-11-12,Man City,Brentford,1,2,A,0,2.7058823529411766,0.7450980392156863,0.7647058823529411,1.3269230769230769,1.5384615384615385,0.3076923076923077
2022-11-12,Bournemouth,Everton,3,0,H,1,1.0714285714285714,2.2857142857142856,0.21428571428571427,1.0384615384615385,1.5384615384615385,0.2692307692307692
2022-11-12,Liverpool,Southampton,3,1,H,1,2.3333333333333335,0.8235294117647058,0.6470588235294118,1.0576923076923077,1.75,0.23076923076923078
2022-11-12,Nott'm Forest,Crystal Palace,1,0,H,1,0.7142857142857143,2.142857142857143,0.14285714285714285,1.2745098039215685,1.2352941176470589,0.3137254901960784
2022-11-12,Tottenham,Leeds,4,3,H,1,1.8461538461538463,1.1153846153846154,0.5769230769230769,1.196078431372549,1.9803921568627452,0.2549019607843137
2022-11-12,West Ham,Leicester,0,2,A,0,1.3846153846153846,1.2692307692307692,0.38461538461538464,1.6346153846153846,1.6153846153846154,0.34615384615384615
2022-11-12,Newcastle,Chelsea,1,0,H,1,1.3846153846153846,1.4038461538461537,0.38461538461538464,1.8235294117647058,0.9607843137254902,0.5294117647058824
2022-11-12,Wolves,Arsenal,0,2,A,0,0.8846153846153846,1.25,0.3269230769230769,1.803921568627451,1.1568627450980393,0.6470588235294118
2022-11-13,Brighton,Aston Villa,1,2,A,0,1.2549019607843137,1.196078431372549,0.35294117647058826,1.2692307692307692,1.4423076923076923,0.3269230769230769
2022-11-13,Fulham,Man United,1,2,A,0,1.6428571428571428,1.7142857142857142,0.35714285714285715,1.4705882352941178,1.4901960784313726,0.45098039215686275
2022-12-26,Brentford,Tottenham,2,2,D,0,1.3396226415094339,1.528301886792453,0.32075471698113206,1.8867924528301887,1.150943396226415,0.5849056603773585
2022-12-26,Crystal Palace,Fulham,0,3,A,0,1.25,1.2307692307692308,0.3076923076923077,1.6,1.7333333333333334,0.3333333333333333
2022-12-26,Everton,Wolves,1,2,A,0,1.0188679245283019,1.5660377358490567,0.2641509433962264,0.8679245283018868,1.2641509433962264,0.32075471698113206
2022-12-26,Leicester,Newcastle,0,3,A,0,1.6415094339622642,1.5849056603773586,0.3584905660377358,1.3773584905660377,1.3773584905660377,0.39622641509433965
2022-12-26,Southampton,Brighton,1,3,A,0,1.0566037735849056,1.7735849056603774,0.22641509433962265,1.25,1.2115384615384615,0.34615384615384615
2022-12-26,Aston Villa,Liverpool,1,3,A,0,1.2830188679245282,1.4339622641509433,0.33962264150943394,2.3461538461538463,0.8269230769230769,0.6538461538461539
2022-12-26,Arsenal,West Ham,3,1,H,1,1.8076923076923077,1.1346153846153846,0.6538461538461539,1.3584905660377358,1.2830188679245282,0.37735849056603776
2022-12-27,Chelsea,Bournemouth,2,0,H,1,1.7884615384615385,0.9615384615384616,0.5192307692307693,1.2,2.1333333333333333,0.26666666666666666
